RunID,Device,DeviceModel,OSVersion,App,AppVersion,NetworkMethod,Mode,BaselineSeconds,RunSeconds,PickerReopened_C1,FilesNotLinks_C2,CardsReceived,OrderCorrect_C3,OrientationPreserved,ArabicCaptionLegible,FreeSpace_S0_MB,FreeSpace_S1_MB,FreeSpace_S2_MB,FreeSpace_S3_MB,Copies_Gallery,Copies_AppCache,Copies_WhatsApp,Copies_Drive,AmplificationFactor,CleanupAfterConfirmation_C6,LocalDeletedBeforeUpload,RevocationBehaviour_C7,QueuedEvidenceOutcome,SupervisorVerdict_C4,Screenshot_Sheet,Screenshot_Received,Observations
B-01,iPhone,,,Standard,,Strong,WhatsApp baseline,,,,,,,,,,,,,,,,,,,,,,,,,
B-02,Android,,,Standard,,Strong,WhatsApp baseline,,,,,,,,,,,,,,,,,,,,,,,,,
R-01,iPhone,,,Standard,,Strong,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-02,iPhone,,,Standard,,Weak,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-03,iPhone,,,Standard,,Offline then sync,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-04,iPhone,,,Business,,Strong,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-05,iPhone,,,Business,,Weak,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-06,iPhone,,,Business,,Offline then sync,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-07,Android,,,Standard,,Strong,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-08,Android,,,Standard,,Weak,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-09,Android,,,Standard,,Offline then sync,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-10,Android,,,Business,,Strong,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-11,Android,,,Business,,Weak,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-12,Android,,,Business,,Offline then sync,Quick Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-13,iPhone,,,Standard,,Strong,AI Reviewed Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-14,iPhone,,,Business,,Strong,AI Reviewed Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-15,Android,,,Standard,,Strong,AI Reviewed Share,,,,,,,,,,,,,,,,,,,,,,,,,
R-16,Android,,,Business,,Strong,AI Reviewed Share,,,,,,,,,,,,,,,,,,,,,,,,,
