PhotoID,VisitID,VisitActivityID,ProjectID,LocationID,CapturedAt,ReceivedAt,UploadedAt,CapturedBy,OriginalFileKey,OriginalChecksum,ChecksumAlgorithm,OriginalMimeType,OriginalWidth,OriginalHeight,OriginalSizeBytes,IsOriginalDeviceImageVerified,EvidenceStage,CaptionEN,CaptionAR,GPSLatitude,GPSLongitude,IsDuplicateSuspected,DuplicateOfPhotoID,AIAnalysisStatus,AIConfidence,AIContradictsCaption,ReviewerDecision,ReviewerComment,ReviewedByUserID,ReviewedAt,ApprovedForReport,ReportSequence,ClassificationCode,EntityVersion
PHO-0001,VIS-0001,VAC-0001,PRJ-0001,LOC-0002,2026-04-02T06:35:00Z,2026-04-02T11:20:00Z,2026-04-02T11:20:00Z,USR-0005,synthetic/LAND-001/2026/04/01_orig/PHO-0001.jpg,aaaaaaaabbbbbbbbccccccccdddddddd,MD5,image/jpeg,4032,3024,2483921,FALSE,Before,Block A lawn before mowing.,مسطح القطاع أ قبل القص.,25.2856,51.5312,FALSE,,Completed,0.82,FALSE,Approved,,USR-0003,2026-04-03T08:00:00Z,TRUE,1,ClientConfidential,2
PHO-0002,VIS-0001,VAC-0001,PRJ-0001,LOC-0002,2026-04-02T10:40:00Z,2026-04-02T11:21:00Z,2026-04-02T11:21:00Z,USR-0005,synthetic/LAND-001/2026/04/01_orig/PHO-0002.jpg,11111111222222223333333344444444,MD5,image/jpeg,4032,3024,2610455,FALSE,After,Block A lawn after mowing.,مسطح القطاع أ بعد القص.,25.2856,51.5312,FALSE,,Completed,0.88,FALSE,Approved,,USR-0003,2026-04-03T08:01:00Z,TRUE,2,ClientConfidential,2
PHO-0003,VIS-0001,VAC-0002,PRJ-0001,LOC-0002,2026-04-02T09:10:00Z,2026-04-02T11:22:00Z,2026-04-02T11:22:00Z,USR-0005,synthetic/LAND-001/2026/04/01_orig/PHO-0003.jpg,11111111222222223333333344444444,MD5,image/jpeg,4032,3024,2610455,FALSE,Before,Bed edge before weeding.,حافة الحوض قبل إزالة الأعشاب.,,,TRUE,PHO-0002,Skipped,,,Pending,,,,FALSE,,ClientConfidential,1
PHO-0004,VIS-0002,VAC-0003,PRJ-0001,LOC-0003,2026-04-03T07:15:00Z,2026-04-03T10:45:00Z,2026-04-03T10:45:00Z,USR-0005,synthetic/LAND-001/2026/04/01_orig/PHO-0004.jpg,55555555666666667777777788888888,MD5,image/jpeg,3024,4032,1988341,FALSE,Observation,Emitter leaking at lateral 4.,تسريب في نقطة الري بالخط ٤.,,,FALSE,,Completed,0.55,TRUE,Pending,,,,FALSE,,ClientConfidential,1
PHO-0005,VIS-0003,VAC-0004,PRJ-0002,LOC-0008,2026-04-02T08:30:00Z,2026-04-02T13:10:00Z,2026-04-02T13:10:00Z,USR-0006,synthetic/CIVL-002/2026/04/01_orig/PHO-0005.jpg,99999999aaaaaaaabbbbbbbbcccccccc,MD5,image/jpeg,4032,3024,2201933,FALSE,Before,Damaged ceiling tiles in Room 12.,ألواح سقف تالفة في الغرفة ١٢.,,,FALSE,,Completed,0.91,FALSE,Approved,,USR-0003,2026-04-03T09:00:00Z,TRUE,1,ClientConfidential,2
PHO-0006,VIS-0003,VAC-0004,PRJ-0002,LOC-0008,2026-04-02T12:30:00Z,2026-04-02T13:11:00Z,2026-04-02T13:11:00Z,USR-0006,synthetic/CIVL-002/2026/04/01_orig/PHO-0006.jpg,dddddddd11111111eeeeeeee22222222,MD5,image/jpeg,4032,3024,2314880,FALSE,After,Replaced ceiling tiles in Room 12.,ألواح السقف بعد الاستبدال في الغرفة ١٢.,,,FALSE,,Completed,0.93,FALSE,Approved,,USR-0003,2026-04-03T09:01:00Z,TRUE,2,ClientConfidential,2
PHO-0007,VIS-0004,VAC-0005,PRJ-0002,LOC-0006,2026-04-04T09:00:00Z,2026-04-04T12:20:00Z,2026-04-04T12:20:00Z,USR-0007,synthetic/CIVL-002/2026/04/01_orig/PHO-0007.jpg,ffffffff33333333aaaaaaaa44444444,MD5,image/jpeg,4032,3024,2102774,FALSE,Snag,,,,,FALSE,,Completed,0.40,FALSE,Pending,Caption required for a snag photograph.,,,FALSE,,ClientConfidential,1
PHO-0008,VIS-0005,VAC-0006,PRJ-0003,LOC-0010,2026-04-05T06:00:00Z,2026-04-05T12:40:00Z,2026-04-05T12:40:00Z,USR-0007,synthetic/IRRG-003/2026/04/01_orig/PHO-0008.jpg,aaaa1111bbbb2222cccc3333dddd4444,MD5,image/jpeg,4032,3024,2455010,FALSE,Before,Zone 1 network before rehabilitation.,شبكة المنطقة ١ قبل إعادة التأهيل.,25.2700,51.5400,FALSE,,Disabled,,,Pending,,,,FALSE,,ClientConfidential,1
PHO-0009,VIS-0001,VAC-0001,PRJ-0001,LOC-0002,2026-04-02T08:15:00Z,2026-04-02T11:23:00Z,2026-04-02T11:23:00Z,USR-0005,synthetic/LAND-001/2026/04/01_orig/PHO-0009.jpg,2222222233333333444444445555555,MD5,image/jpeg,4032,3024,2399001,FALSE,During,Mowing in progress in Block A.,أعمال القص جارية في القطاع أ.,25.2856,51.5312,FALSE,,Completed,0.79,FALSE,Approved,,USR-0003,2026-04-03T08:02:00Z,TRUE,3,ClientConfidential,2
PHO-0010,VIS-0001,VAC-0002,PRJ-0001,LOC-0002,2026-04-02T09:50:00Z,2026-04-02T11:24:00Z,2026-04-02T11:24:00Z,USR-0005,synthetic/LAND-001/2026/04/01_orig/PHO-0010.jpg,6666666677777777888888889999999,MD5,image/jpeg,4032,3024,2288714,FALSE,After,Bed edge after weeding.,حافة الحوض بعد إزالة الأعشاب.,,,FALSE,,Completed,0.84,FALSE,Approved,,USR-0003,2026-04-03T08:03:00Z,TRUE,4,ClientConfidential,2
