AssignmentID,ProjectID,UserID,RoleID,AssignedFrom,AssignedTo,MaySubmitEvidence,MayReviewEvidence,MayRequestDocuments,IsActive
ASG-0001,PRJ-0001,USR-0004,ROLE-PM,2026-01-01,,FALSE,TRUE,TRUE,TRUE
ASG-0002,PRJ-0001,USR-0003,ROLE-TECHREV,2026-01-01,,FALSE,TRUE,TRUE,TRUE
ASG-0003,PRJ-0001,USR-0005,ROLE-SUPERVISOR,2026-01-01,,TRUE,FALSE,FALSE,TRUE
ASG-0004,PRJ-0001,USR-0008,ROLE-FIELD,2026-01-01,,TRUE,FALSE,FALSE,TRUE
ASG-0005,PRJ-0002,USR-0003,ROLE-TECHREV,2026-02-01,,FALSE,TRUE,TRUE,TRUE
ASG-0006,PRJ-0002,USR-0006,ROLE-SUPERVISOR,2026-02-01,,TRUE,FALSE,FALSE,TRUE
ASG-0007,PRJ-0002,USR-0007,ROLE-SUPERVISOR,2026-02-01,,TRUE,FALSE,FALSE,TRUE
ASG-0008,PRJ-0003,USR-0007,ROLE-SUPERVISOR,2026-03-01,,TRUE,FALSE,FALSE,TRUE
ASG-0009,PRJ-0003,USR-0004,ROLE-PM,2026-03-01,,FALSE,TRUE,TRUE,TRUE
ASG-0010,PRJ-0001,USR-0012,ROLE-SUPERVISOR,2026-01-01,2026-02-28,TRUE,FALSE,FALSE,TRUE
